CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
HZ179710,7900 S ASHLAND AVE,AUBURN GRESHAM,GAS STATION
HZ179908,3000 W 64TH ST,CHICAGO LAWN,SIDEWALK
HZ180030,2800 W 63RD ST,CHICAGO LAWN,ALLEY
HZ180184,2500 S BLUE ISLAND AVE,LOWER WEST SIDE,SIDEWALK
HZ180223,3300 N PULASKI RD,AVONDALE,STREET
HZ180992,5500 S ALBANY AVE,GAGE PARK,STREET
HZ182668,900 N CENTRAL PARK AVE,HUMBOLDT PARK,RESIDENCE
HZ183696,4200 S ARCHER AVE,BRIGHTON PARK,SIDEWALK
HZ184803,1200 N LOCKWOOD AVE,AUSTIN,SIDEWALK
HZ185179,4800 S BISHOP ST,NEW CITY,SIDEWALK
HZ185734,5400 S BISHOP ST,NEW CITY,SIDEWALK
HZ185872,9600 S BRENNAN AVE,SOUTH DEERING,RESIDENTIAL YARD (FRONT/BACK)
HZ186235,2500 W 71ST ST,CHICAGO LAWN,ALLEY
HZ187019,800 S CALIFORNIA AVE,EAST GARFIELD PARK,STREET
HZ187206,3300 S HOYNE AVE,MCKINLEY PARK,ALLEY
HZ188560,3500 E 96TH ST,EAST SIDE,SIDEWALK
HZ188694,6700 S EAST END AVE,SOUTH SHORE,SIDEWALK
HZ189604,2700 W FLOURNOY ST,EAST GARFIELD PARK,SIDEWALK
HZ189965,2100 N TRIPP AVE,HERMOSA,STREET
HZ190016,6700 S ARTESIAN AVE,CHICAGO LAWN,ALLEY
HZ190216,6800 S CORNELL AVE,SOUTH SHORE,VEHICLE NON-COMMERCIAL
HZ190463,6600 S CHAMPLAIN AVE,WOODLAWN,SIDEWALK
HZ191362,2900 N SAWYER AVE,AVONDALE,SIDEWALK
HZ191369,6600 S GREENWOOD AVE,WOODLAWN,SIDEWALK
HZ191480,5000 S PAULINA ST,NEW CITY,SIDEWALK
HZ191489,7600 S SANGAMON ST,AUBURN GRESHAM,ALLEY
HZ192499,10000 S YATES AVE,SOUTH DEERING,SIDEWALK
HZ192702,800 N LOCKWOOD AVE,AUSTIN,SIDEWALK
HZ193386,5600 W IOWA ST,AUSTIN,STREET
HZ193979,9600 S EWING AVE,EAST SIDE,ALLEY
HZ195095,1200 N HOMAN AVE,HUMBOLDT PARK,VEHICLE NON-COMMERCIAL
HZ195113,800 N KOSTNER AVE,HUMBOLDT PARK,STREET
HZ195903,10200 S INDIANA AVE,ROSELAND,SIDEWALK
HZ197687,2300 W CULLERTON ST,LOWER WEST SIDE,ALLEY
HZ200954,4900 W AUGUSTA BLVD,AUSTIN,STREET
HZ201203,6500 S MOZART ST,CHICAGO LAWN,RESIDENCE - YARD (FRONT / BACK)
HZ201243,6300 S TROY ST,CHICAGO LAWN,ALLEY
HZ201305,13200 S ST LAWRENCE AVE,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ201365,1700 N KEYSTONE AVE,HUMBOLDT PARK,SIDEWALK
HZ202400,900 N KARLOV AVE,HUMBOLDT PARK,RESIDENCE PORCH/HALLWAY
HZ202493,800 N SACRAMENTO BLVD,HUMBOLDT PARK,SIDEWALK
HZ202542,3900 W THOMAS ST,HUMBOLDT PARK,SIDEWALK
HZ203139,10000 S CRANDON AVE,SOUTH DEERING,PARK PROPERTY
HZ203621,1200 N HAMLIN AVE,HUMBOLDT PARK,SIDEWALK
HZ205403,800 W GARFIELD BLVD,NEW CITY,SIDEWALK
HZ206048,1400 E 66TH PL,WOODLAWN,STREET
HZ206087,5900 W AUGUSTA BLVD,AUSTIN,SIDEWALK
HZ207534,2600 W LE MOYNE ST,WEST TOWN,STREET
HZ209384,1000 N ST LOUIS AVE,HUMBOLDT PARK,SIDEWALK
HZ210291,1100 S TROY ST,NORTH LAWNDALE,VEHICLE NON-COMMERCIAL
HZ210722,3100 N CENTRAL AVE,BELMONT CRAGIN,STREET
HZ211318,800 N CENTRAL PARK AVE,HUMBOLDT PARK,STREET
HZ212056,900 N LAMON AVE,AUSTIN,SIDEWALK
HZ212250,3100 W 40TH ST,BRIGHTON PARK,STREET
HZ212286,6400 S RICHMOND ST,CHICAGO LAWN,SIDEWALK
HZ212357,6500 S KENWOOD AVE,WOODLAWN,STREET
HZ212547,1300 N ROCKWELL ST,WEST TOWN,SIDEWALK
HZ214370,4300 S TALMAN AVE,BRIGHTON PARK,SIDEWALK
HZ214630,8100 S LOOMIS BLVD,AUBURN GRESHAM,STREET
HZ216169,800 E 131ST ST,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ216292,2200 E 70TH PL,SOUTH SHORE,STREET
HZ216682,13000 S DREXEL AVE,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ218634,3300 W BEACH AVE,HUMBOLDT PARK,STREET
HZ218779,2600 N CENTRAL AVE,BELMONT CRAGIN,GAS STATION
HZ219309,5900 W DIVISION ST,AUSTIN,SIDEWALK
HZ220853,1000 N LAWLER AVE,AUSTIN,SIDEWALK
HZ221043,8300 S HOUSTON AVE,SOUTH CHICAGO,SIDEWALK
HZ221111,5700 W BELDEN AVE,BELMONT CRAGIN,SIDEWALK
HZ221228,5300 W CHICAGO AVE,AUSTIN,STREET
HZ222504,4000 W 61ST ST,WEST LAWN,ALLEY
HZ224114,600 E 62ND ST,WOODLAWN,SIDEWALK
HZ224306,6400 S EVANS AVE,WOODLAWN,SIDEWALK
HZ224646,2500 W LITHUANIAN PLAZA CT,CHICAGO LAWN,STREET
HZ225811,5700 W IOWA ST,AUSTIN,VEHICLE NON-COMMERCIAL
HZ225892,9400 S WOODLAWN AVE,BURNSIDE,STREET
HZ226169,5300 S MORGAN ST,NEW CITY,SIDEWALK
HZ226382,9200 S ELLIS AVE,BURNSIDE,RESIDENCE PORCH/HALLWAY
HZ226738,1400 N LAVERGNE AVE,AUSTIN,RESIDENCE PORCH/HALLWAY
HZ228089,700 E 65TH ST,WOODLAWN,SIDEWALK
HZ228270,2000 E 71ST ST,SOUTH SHORE,SIDEWALK
HZ229750,6400 S EBERHART AVE,WOODLAWN,SIDEWALK
HZ229768,4600 N CENTRAL PARK AVE,ALBANY PARK,ALLEY
HZ231666,5600 W SCHUBERT AVE,BELMONT CRAGIN,SIDEWALK
HZ232749,2400 N MC VICKER AVE,BELMONT CRAGIN,ALLEY
HZ232923,2900 W 63RD ST,CHICAGO LAWN,SIDEWALK
HZ233602,300 S WESTERN AVE,NEAR WEST SIDE,SIDEWALK
HZ233621,4900 W WALTON ST,AUSTIN,SIDEWALK
HZ233752,600 E 131ST ST,RIVERDALE,PARKING LOT/GARAGE(NON.RESID.)
HZ234301,1100 N LECLAIRE AVE,AUSTIN,STREET
HZ234563,2700 W 24TH PL,SOUTH LAWNDALE,STREET
HZ234781,5500 W PARKER AVE,BELMONT CRAGIN,RESIDENCE
HZ234920,5400 S ABERDEEN ST,NEW CITY,SIDEWALK
HZ235275,1500 E 66TH PL,WOODLAWN,RESIDENCE PORCH/HALLWAY
HZ236663,800 E 82ND ST,CHATHAM,SIDEWALK
HZ237252,0 E 102ND ST,ROSELAND,RESIDENCE PORCH/HALLWAY
HZ237383,800 N AVERS AVE,HUMBOLDT PARK,STREET
HZ237527,8800 S EXCHANGE AVE,SOUTH CHICAGO,SIDEWALK
HZ237755,4600 S RICHMOND ST,BRIGHTON PARK,STREET
HZ238521,1400 N HUMBOLDT DR,WEST TOWN,PARK PROPERTY
HZ238655,8400 S BUFFALO AVE,SOUTH CHICAGO,SIDEWALK
HZ238801,8900 S ESCANABA AVE,SOUTH CHICAGO,STREET
HZ238895,10000 S PRINCETON AVE,ROSELAND,RESIDENTIAL YARD (FRONT/BACK)
HZ240313,5500 W IOWA ST,AUSTIN,SIDEWALK
HZ241614,2400 W 34TH PL,MCKINLEY PARK,SIDEWALK
HZ244323,600 E 80TH ST,CHATHAM,STREET
HZ245005,4800 S WINCHESTER AVE,NEW CITY,SIDEWALK
HZ245628,1700 E 69TH ST,SOUTH SHORE,STREET
HZ246659,4800 S BISHOP ST,NEW CITY,STREET
HZ249494,800 N TRIPP AVE,HUMBOLDT PARK,RESIDENCE-GARAGE
HZ250479,2400 W 63RD ST,CHICAGO LAWN,SIDEWALK
HZ251097,3900 S ARCHER AVE,BRIGHTON PARK,STREET
HZ251460,5700 W AUGUSTA BLVD,AUSTIN,CONVENIENCE STORE
HZ251641,4200 W DIVISION ST,HUMBOLDT PARK,SIDEWALK
HZ251806,3000 W 60TH ST,CHICAGO LAWN,STREET
HZ252697,4600 W BELMONT AVE,BELMONT CRAGIN,VEHICLE - OTHER RIDE SERVICE
HZ253379,900 N PULASKI RD,HUMBOLDT PARK,ALLEY
HZ253745,1700 N HARDING AVE,HUMBOLDT PARK,RESIDENCE-GARAGE
HZ254543,6800 S CAMPBELL AVE,CHICAGO LAWN,STREET
HZ254600,6400 S DR MARTIN LUTHER KING JR DR,WOODLAWN,SIDEWALK
HZ254653,6100 S ST LAWRENCE AVE,WOODLAWN,SIDEWALK
HZ255734,4100 W NORTH AVE,HUMBOLDT PARK,STREET
HZ255772,3900 S SACRAMENTO AVE,BRIGHTON PARK,STREET
HZ255838,4400 S CALIFORNIA AVE,BRIGHTON PARK,SIDEWALK
HZ255877,5400 W THOMAS ST,AUSTIN,SIDEWALK
HZ257417,3000 W 66TH ST,CHICAGO LAWN,STREET
HZ257487,1200 N KEELER AVE,HUMBOLDT PARK,ALLEY
HZ258654,800 E 81ST ST,CHATHAM,SIDEWALK
HZ259364,3000 W 40TH PL,BRIGHTON PARK,SIDEWALK
HZ259597,900 N DRAKE AVE,HUMBOLDT PARK,SIDEWALK
HZ260162,2400 W LITHUANIAN PLAZA CT,CHICAGO LAWN,SIDEWALK
HZ260287,2100 W JACKSON BLVD,NEAR WEST SIDE,STREET
HZ260625,2500 W 63RD ST,CHICAGO LAWN,SIDEWALK
HZ262087,900 N LAMON AVE,AUSTIN,SIDEWALK
HZ262225,6300 S EBERHART AVE,WOODLAWN,RESIDENTIAL YARD (FRONT/BACK)
HZ262413,13000 S DR MARTIN LUTHER KING JR DR,RIVERDALE,OTHER
HZ264094,1800 S OAKLEY AVE,LOWER WEST SIDE,STREET
HZ264622,5900 W DIVISION ST,AUSTIN,STREET
HZ265818,7900 S WOOD ST,AUBURN GRESHAM,APARTMENT
HZ266068,2300 N MONITOR AVE,BELMONT CRAGIN,SIDEWALK
HZ266147,2100 N CICERO AVE,BELMONT CRAGIN,SIDEWALK
HZ266227,1200 W 49TH ST,NEW CITY,STREET
HZ267566,2000 E 71ST ST,SOUTH SHORE,SIDEWALK
HZ267577,4500 S WOLCOTT AVE,NEW CITY,STREET
HZ267613,2100 W ADAMS ST,NEAR WEST SIDE,SIDEWALK
HZ267625,6200 S KOMENSKY AVE,WEST LAWN,ALLEY
HZ267818,6200 S KIMBARK AVE,WOODLAWN,SIDEWALK
HZ268237,3100 W POLK ST,EAST GARFIELD PARK,SIDEWALK
HZ268762,2100 S FAIRFIELD AVE,SOUTH LAWNDALE,ALLEY
HZ268767,2700 W 16TH ST,NORTH LAWNDALE,STREET
HZ269253,1000 N RIDGEWAY AVE,HUMBOLDT PARK,SIDEWALK
HZ269498,6400 S EBERHART AVE,WOODLAWN,SIDEWALK
HZ269500,1100 S FRANCISCO AVE,NORTH LAWNDALE,SIDEWALK
HZ269993,200 S WESTERN AVE,NEAR WEST SIDE,RESTAURANT
HZ270220,1500 E 67TH ST,WOODLAWN,SIDEWALK
HZ270298,2600 W NORTH AVE,WEST TOWN,STREET
HZ271762,2300 W MADISON ST,NEAR WEST SIDE,ATM (AUTOMATIC TELLER MACHINE)
HZ271821,8500 S BURLEY AVE,SOUTH CHICAGO,SIDEWALK
HZ271955,2100 E 97TH ST,SOUTH DEERING,STREET
HZ272750,5100 W DIVISION ST,AUSTIN,SIDEWALK
HZ273086,2400 N LARAMIE AVE,BELMONT CRAGIN,SIDEWALK
HZ273134,2700 W NORTH AVE,WEST TOWN,STREET
HZ273239,900 N HOMAN AVE,HUMBOLDT PARK,SIDEWALK
HZ273974,6600 S CHAMPLAIN AVE,WOODLAWN,SIDEWALK
HZ274030,4300 W HIRSCH ST,HUMBOLDT PARK,SIDEWALK
HZ274693,3000 W 59TH ST,CHICAGO LAWN,SIDEWALK
HZ275479,7100 S WASHTENAW AVE,CHICAGO LAWN,SIDEWALK
HZ275651,2300 S LEAVITT ST,LOWER WEST SIDE,STREET
HZ275678,7800 S KINGSTON AVE,SOUTH SHORE,RESIDENTIAL YARD (FRONT/BACK)
HZ276489,9700 S AVENUE L,EAST SIDE,SIDEWALK
HZ277019,1700 E 69TH ST,SOUTH SHORE,STREET
HZ277808,4700 S ADA ST,NEW CITY,STREET
HZ277913,2800 W HARRISON ST,EAST GARFIELD PARK,SIDEWALK
HZ278090,3300 S HAMILTON AVE,MCKINLEY PARK,ALLEY
HZ278242,800 N LOREL AVE,AUSTIN,RESIDENCE PORCH/HALLWAY
HZ278484,5900 S CAMPBELL AVE,CHICAGO LAWN,SIDEWALK
HZ278908,1200 N LOCKWOOD AVE,AUSTIN,SIDEWALK
HZ278994,10100 S WENTWORTH AVE,ROSELAND,SIDEWALK
HZ279151,600 E MARQUETTE RD,WOODLAWN,SIDEWALK
HZ279606,7600 S SANGAMON ST,AUBURN GRESHAM,RESIDENCE PORCH/HALLWAY
HZ280005,7000 S CLYDE AVE,SOUTH SHORE,STREET
HZ281082,9700 S UNIVERSITY AVE,PULLMAN,SIDEWALK
HZ281190,1100 N PULASKI RD,HUMBOLDT PARK,SIDEWALK
HZ281344,10200 S STATE ST,ROSELAND,SIDEWALK
HZ281971,4000 S ARCHER AVE,BRIGHTON PARK,STREET
HZ282097,4600 N RACINE AVE,UPTOWN,SIDEWALK
HZ282891,9900 S PAXTON AVE,SOUTH DEERING,RESIDENCE PORCH/HALLWAY
HZ282956,1800 W 47TH ST,NEW CITY,SIDEWALK
HZ283906,1600 W 47TH ST,NEW CITY,VEHICLE NON-COMMERCIAL
HZ283933,5100 W CHICAGO AVE,AUSTIN,SIDEWALK
HZ284152,700 N KEDZIE AVE,HUMBOLDT PARK,STREET
HZ285418,900 N MASSASOIT AVE,AUSTIN,RESIDENTIAL YARD (FRONT/BACK)
HZ285476,1300 N PULASKI RD,HUMBOLDT PARK,SIDEWALK
HZ286224,8700 S ESCANABA AVE,SOUTH CHICAGO,SIDEWALK
HZ286700,2600 E 73RD ST,SOUTH SHORE,SIDEWALK
HZ287292,7900 S LAFLIN ST,AUBURN GRESHAM,SIDEWALK
HZ287741,800 N HARDING AVE,HUMBOLDT PARK,SIDEWALK
HZ287923,3400 W IOWA ST,HUMBOLDT PARK,SIDEWALK
HZ288069,13100 S DANIEL DR,RIVERDALE,OTHER
HZ288087,4600 N BROADWAY,UPTOWN,SIDEWALK
HZ288250,1300 W LELAND AVE,UPTOWN,SIDEWALK
HZ288942,1400 N LOTUS AVE,AUSTIN,SIDEWALK
HZ289314,4800 S LOOMIS BLVD,NEW CITY,SIDEWALK
HZ289382,1700 W 46TH ST,NEW CITY,STREET
HZ291275,1100 N PULASKI RD,HUMBOLDT PARK,STREET
HZ291334,3500 W AUGUSTA BLVD,HUMBOLDT PARK,SIDEWALK
HZ292669,4000 W POTOMAC AVE,HUMBOLDT PARK,SIDEWALK
HZ292824,6400 S KEELER AVE,WEST LAWN,STREET
HZ293135,1400 N AVERS AVE,HUMBOLDT PARK,SIDEWALK
HZ293471,1600 E 70TH ST,SOUTH SHORE,SIDEWALK
HZ294039,4400 S MARSHFIELD AVE,NEW CITY,SIDEWALK
HZ294815,900 N LAMON AVE,AUSTIN,STREET
HZ295073,3100 W NORTH AVE,WEST TOWN,SIDEWALK
HZ296128,2400 S WASHTENAW AVE,SOUTH LAWNDALE,SIDEWALK
HZ296446,1100 W 51ST ST,NEW CITY,SIDEWALK
HZ296570,6100 S EBERHART AVE,WOODLAWN,STREET
HZ298572,7000 S CLYDE AVE,SOUTH SHORE,SIDEWALK
HZ298722,1300 W 77TH ST,AUBURN GRESHAM,ALLEY
HZ299021,1100 S TROY ST,NORTH LAWNDALE,SIDEWALK
HZ300527,3000 W 39TH PL,BRIGHTON PARK,STREET
HZ300809,4700 S CALIFORNIA AVE,BRIGHTON PARK,STREET
HZ301077,4400 S TALMAN AVE,BRIGHTON PARK,OTHER
HZ301577,6700 S JEFFERY BLVD,SOUTH SHORE,STREET
HZ303790,6300 S ARTESIAN AVE,CHICAGO LAWN,SIDEWALK
HZ303910,5200 S HOMAN AVE,GAGE PARK,STREET
HZ305631,6700 S ARTESIAN AVE,CHICAGO LAWN,SIDEWALK
HZ305966,5600 W DIVISION ST,AUSTIN,SIDEWALK
HZ306500,5100 W THOMAS ST,AUSTIN,STREET
HZ309185,7000 S CLYDE AVE,SOUTH SHORE,SIDEWALK
HZ309319,6200 S COTTAGE GROVE AVE,WOODLAWN,ALLEY
HZ309342,5400 W HADDON AVE,AUSTIN,RESIDENCE PORCH/HALLWAY
HZ309344,6900 S DANTE AVE,SOUTH SHORE,SIDEWALK
HZ309780,1100 N LONG AVE,AUSTIN,SIDEWALK
HZ310969,1100 W LELAND AVE,UPTOWN,SIDEWALK
HZ310903,1300 W 82ND ST,AUBURN GRESHAM,SIDEWALK
HZ311697,5500 W NORTH AVE,AUSTIN,PARKING LOT/GARAGE(NON.RESID.)
HZ311852,3000 W LEXINGTON ST,EAST GARFIELD PARK,ALLEY
HZ311975,6700 S STONY ISLAND AVE,SOUTH SHORE,RESTAURANT
HZ312204,1400 E 70TH ST,SOUTH SHORE,PARK PROPERTY
JB351947,4800 S ELIZABETH ST,NEW CITY,ALLEY
HZ313157,3600 W THOMAS ST,HUMBOLDT PARK,SIDEWALK
HZ313658,700 E 131ST ST,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ313878,7900 S RACINE AVE,AUBURN GRESHAM,SIDEWALK
HZ314632,6100 S KIMBARK AVE,WOODLAWN,STREET
HZ315075,1200 W 48TH ST,NEW CITY,STREET
HZ316305,7500 S SAGINAW AVE,SOUTH SHORE,SIDEWALK
HZ316532,3000 W LEXINGTON ST,EAST GARFIELD PARK,STREET
HZ317818,4000 W POTOMAC AVE,HUMBOLDT PARK,SIDEWALK
HZ319384,9500 S OGLESBY AVE,SOUTH DEERING,SIDEWALK
HZ319585,2400 W 68TH ST,CHICAGO LAWN,SIDEWALK
HZ320582,7900 S ESSEX AVE,SOUTH CHICAGO,SIDEWALK
HZ320966,0 N WESTERN AVE,NEAR WEST SIDE,STREET
HZ322135,4900 W KAMERLING AVE,AUSTIN,SIDEWALK
HZ322195,2600 W POTOMAC AVE,WEST TOWN,STREET
HZ322350,8100 S PEORIA ST,AUBURN GRESHAM,SIDEWALK
HZ322380,5900 S ALBANY AVE,CHICAGO LAWN,RESIDENTIAL YARD (FRONT/BACK)
HZ322798,5900 S TROY ST,CHICAGO LAWN,SIDEWALK
HZ323519,10600 S COTTAGE GROVE AVE,PULLMAN,STREET
HZ323548,8600 S MARQUETTE AVE,SOUTH CHICAGO,RESIDENCE PORCH/HALLWAY
HZ323731,2700 W POLK ST,EAST GARFIELD PARK,SIDEWALK
HZ324865,900 N SACRAMENTO BLVD,HUMBOLDT PARK,STREET
HZ324939,6300 S ROCKWELL ST,CHICAGO LAWN,SIDEWALK
HZ326304,8800 S BURLEY AVE,SOUTH CHICAGO,PARKING LOT/GARAGE(NON.RESID.)
HZ327141,900 E MARQUETTE RD,WOODLAWN,SIDEWALK
HZ327450,5300 W LE MOYNE ST,AUSTIN,SIDEWALK
HZ327651,6300 S ST LOUIS AVE,CHICAGO LAWN,VEHICLE NON-COMMERCIAL
HZ327811,4300 W PALMER ST,HERMOSA,RESIDENCE
HZ327751,3000 W LEXINGTON ST,EAST GARFIELD PARK,STREET
HZ329168,6500 S MAPLEWOOD AVE,CHICAGO LAWN,SIDEWALK
HZ329230,5300 W BELDEN AVE,BELMONT CRAGIN,SIDEWALK
HZ329887,900 N HARDING AVE,HUMBOLDT PARK,SIDEWALK
HZ330036,5200 W LE MOYNE ST,AUSTIN,SIDEWALK
HZ330337,8100 S COTTAGE GROVE AVE,CHATHAM,ALLEY
HZ330495,2200 W VAN BUREN ST,NEAR WEST SIDE,PARKING LOT/GARAGE(NON.RESID.)
HZ331878,800 E 62ND ST,WOODLAWN,SIDEWALK
HZ332805,7200 S SPAULDING AVE,CHICAGO LAWN,SIDEWALK
HZ332821,6400 S COTTAGE GROVE AVE,WOODLAWN,SMALL RETAIL STORE
HZ333438,3600 W GRAND AVE,HUMBOLDT PARK,SIDEWALK
HZ333523,2800 W POLK ST,EAST GARFIELD PARK,STREET
HZ335005,9800 S INGLESIDE AVE,PULLMAN,ALLEY
HZ335430,7200 S ARTESIAN AVE,CHICAGO LAWN,SIDEWALK
HZ335667,2000 S WESTERN AVE,LOWER WEST SIDE,STREET
HZ335685,800 E 63RD ST,WOODLAWN,ALLEY
HZ335715,3900 S ARCHER AVE,BRIGHTON PARK,GAS STATION
HZ335829,6800 S CAMPBELL AVE,CHICAGO LAWN,STREET
HZ335850,1000 N LATROBE AVE,AUSTIN,STREET
HZ335882,800 N LAVERGNE AVE,AUSTIN,STREET
HZ336828,3800 W AUGUSTA BLVD,HUMBOLDT PARK,SIDEWALK
HZ337167,3100 W FILLMORE ST,NORTH LAWNDALE,RESIDENCE
HZ337339,4500 S HERMITAGE AVE,NEW CITY,SIDEWALK
HZ337352,4800 S WINCHESTER AVE,NEW CITY,SIDEWALK
HZ337569,8900 S SOUTH CHICAGO AVE,SOUTH CHICAGO,GAS STATION
HZ337573,8400 S MACKINAW AVE,SOUTH CHICAGO,SIDEWALK
HZ338875,8000 S MARSHFIELD AVE,AUBURN GRESHAM,SIDEWALK
HZ340269,8200 S HOUSTON AVE,SOUTH CHICAGO,VEHICLE NON-COMMERCIAL
HZ341170,1200 W 51ST ST,NEW CITY,STREET
HZ341474,1400 N SPAULDING AVE,HUMBOLDT PARK,STREET
HZ341485,2300 S WASHTENAW AVE,SOUTH LAWNDALE,SIDEWALK
HZ341488,5600 W NORTH AVE,AUSTIN,STREET
HZ341556,13100 S CORLISS AVE,RIVERDALE,RESIDENTIAL YARD (FRONT/BACK)
HZ341667,1400 N MASSASOIT AVE,AUSTIN,VEHICLE NON-COMMERCIAL
HZ341743,5400 S WINCHESTER AVE,NEW CITY,RESIDENCE
HZ341924,1300 N WASHTENAW AVE,WEST TOWN,SIDEWALK
HZ341933,900 N MONTICELLO AVE,HUMBOLDT PARK,STREET
HZ342785,1000 N CENTRAL PARK AVE,HUMBOLDT PARK,RESIDENTIAL YARD (FRONT/BACK)
HZ342873,10000 S VERNON AVE,ROSELAND,STREET
HZ343428,6100 S CALIFORNIA AVE,CHICAGO LAWN,SIDEWALK
HZ343914,2400 E 78TH ST,SOUTH SHORE,APARTMENT
HZ343935,13200 S CORLISS AVE,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ345082,10300 S INDIANA AVE,ROSELAND,STREET
HZ345216,900 W 50TH ST,NEW CITY,STREET
HZ345257,6700 S STONY ISLAND AVE,SOUTH SHORE,STREET
HZ345404,5400 W WELLINGTON AVE,BELMONT CRAGIN,ALLEY
HZ346709,2600 W 64TH ST,CHICAGO LAWN,SIDEWALK
HZ347668,1500 E 69TH PL,SOUTH SHORE,SIDEWALK
HZ347905,4800 S LAFLIN ST,NEW CITY,SIDEWALK
HZ349048,1300 S TALMAN AVE,NORTH LAWNDALE,SIDEWALK
HZ349215,100 S LEAVITT ST,NEAR WEST SIDE,STREET
HZ349309,5800 S ARTESIAN AVE,GAGE PARK,RESIDENCE PORCH/HALLWAY
HZ349512,1000 W GARFIELD BLVD,NEW CITY,CTA BUS STOP
HZ350012,5400 W IOWA ST,AUSTIN,SIDEWALK
HZ350869,13200 S CORLISS AVE,RIVERDALE,STREET
HZ351468,6900 S HARPER AVE,SOUTH SHORE,SIDEWALK
HZ352198,2200 S LEAVITT ST,LOWER WEST SIDE,STREET
JD226988,1100 S MOZART ST,NORTH LAWNDALE,STREET
HZ352243,2400 W 45TH ST,BRIGHTON PARK,APARTMENT
HZ352403,4800 S LAFLIN ST,NEW CITY,SIDEWALK
HZ354083,7900 S ESSEX AVE,SOUTH CHICAGO,ALLEY
HZ354729,9700 S PRAIRIE AVE,ROSELAND,SIDEWALK
HZ354880,2400 W 64TH ST,CHICAGO LAWN,STREET
HZ356210,6700 S EAST END AVE,SOUTH SHORE,SIDEWALK
HZ356272,3800 W CHICAGO AVE,HUMBOLDT PARK,SIDEWALK
HZ356283,2000 E 71ST ST,SOUTH SHORE,STREET
HZ357581,1500 N LOREL AVE,AUSTIN,SIDEWALK
HZ357637,5300 W OAKDALE AVE,BELMONT CRAGIN,ALLEY
HZ358117,1100 N LOCKWOOD AVE,AUSTIN,SIDEWALK
HZ358673,3900 S ROCKWELL ST,BRIGHTON PARK,STREET
HZ360342,3000 W LEXINGTON ST,EAST GARFIELD PARK,RESIDENCE PORCH/HALLWAY
HZ360461,2900 W ROOSEVELT RD,NORTH LAWNDALE,SIDEWALK
HZ360503,7600 S RACINE AVE,AUBURN GRESHAM,PARK PROPERTY
HZ360647,1100 S SACRAMENTO BLVD,NORTH LAWNDALE,SIDEWALK
HZ360672,3300 W 38TH ST,BRIGHTON PARK,STREET
HZ361054,8000 S LAFLIN ST,AUBURN GRESHAM,SIDEWALK
HZ361688,5400 W AUGUSTA BLVD,AUSTIN,SIDEWALK
HZ361887,8700 S BURLEY AVE,SOUTH CHICAGO,APARTMENT
HZ362374,1800 W 48TH ST,NEW CITY,RESIDENCE-GARAGE
HZ362703,10200 S MICHIGAN AVE,ROSELAND,SIDEWALK
HZ364303,13300 S CORLISS AVE,RIVERDALE,CHA PARKING LOT/GROUNDS
HZ364397,4600 S HONORE ST,NEW CITY,SIDEWALK
HZ365164,6300 S MOZART ST,CHICAGO LAWN,SIDEWALK
HZ366738,3800 W ARMITAGE AVE,LOGAN SQUARE,STREET
HZ368637,0 W 105TH ST,ROSELAND,STREET
HZ369470,4700 N WINTHROP AVE,UPTOWN,STREET
HZ369744,3100 W MONTROSE AVE,ALBANY PARK,SIDEWALK
HZ370429,8200 S SAGINAW AVE,SOUTH CHICAGO,RESIDENTIAL YARD (FRONT/BACK)
HZ371550,2700 E 87TH ST,SOUTH CHICAGO,STREET
HZ371661,900 N KEDVALE AVE,HUMBOLDT PARK,SIDEWALK
HZ371690,700 E 82ND ST,CHATHAM,SIDEWALK
HZ371739,800 N CICERO AVE,AUSTIN,STREET
HZ371822,1100 N KEELER AVE,HUMBOLDT PARK,SIDEWALK
HZ372333,1500 E 70TH ST,SOUTH SHORE,ABANDONED BUILDING
HZ373058,1100 N HAMLIN AVE,HUMBOLDT PARK,SIDEWALK
HZ373577,6600 S MARYLAND AVE,WOODLAWN,STREET
HZ373751,8300 S SAGINAW AVE,SOUTH CHICAGO,SIDEWALK
HZ373992,4300 S PAULINA ST,NEW CITY,SIDEWALK
HZ374094,100 N WOOD ST,NEAR WEST SIDE,STREET
HZ375445,6000 W DIVERSEY AVE,BELMONT CRAGIN,ALLEY
HZ375919,8900 S ESCANABA AVE,SOUTH CHICAGO,STREET
HZ377208,4000 W DIVISION ST,HUMBOLDT PARK,SIDEWALK
HZ377367,5900 S KEDZIE AVE,CHICAGO LAWN,STREET
HZ378604,5600 W DIVISION ST,AUSTIN,PARKING LOT/GARAGE(NON.RESID.)
HZ379020,6800 S STONY ISLAND AVE,SOUTH SHORE,OTHER
HZ379957,1000 N HARDING AVE,HUMBOLDT PARK,SIDEWALK
HZ380109,3800 W DIVERSEY AVE,AVONDALE,SIDEWALK
HZ380123,6300 S COTTAGE GROVE AVE,WOODLAWN,SIDEWALK
HZ380168,8700 S KINGSTON AVE,SOUTH CHICAGO,STREET
