CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
JG177016,8400 S BURNHAM AVE,SOUTH CHICAGO,STREET
JG177772,1900 E 95TH ST,SOUTH DEERING,STREET
JC216720,6500 S OAKLEY AVE,CHICAGO LAWN,STREET
JE161393,10100 S WINSTON AVE,WASHINGTON HEIGHTS,RESIDENCE
JE255457,8900 S COTTAGE GROVE AVE,CHATHAM,STREET
JC292523,9400 S HARVARD AVE,ROSELAND,SIDEWALK
JE475420,5900 W IRVING PARK RD,PORTAGE PARK,STREET
JF525753,5100 W MADISON ST,AUSTIN,GAS STATION
JF524496,6500 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,SIDEWALK
JE293873,1300 S LAWNDALE AVE,NORTH LAWNDALE,STREET
JG235011,9300 S EGGLESTON AVE,WASHINGTON HEIGHTS,STREET
JF388882,4200 W ROOSEVELT RD,NORTH LAWNDALE,STREET
JE188954,200 S WESTERN AVE,NEAR WEST SIDE,STREET
JG108197,3400 W 79TH ST,ASHBURN,SIDEWALK
JF466038,2700 N LARAMIE AVE,BELMONT CRAGIN,STREET
JF487103,1500 N KOLIN AVE,HUMBOLDT PARK,STREET
JG167265,0 E CERMAK RD,NEAR SOUTH SIDE,STREET
JG169181,8700 S LAFAYETTE AVE,CHATHAM,PARKING LOT / GARAGE (NON RESIDENTIAL)
JG235979,6400 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,STREET
JG179010,8100 S HALSTED ST,AUBURN GRESHAM,STREET
JG205378,200 N LAVERGNE AVE,AUSTIN,STREET
JG236056,7900 S CICERO AVE,ASHBURN,PARKING LOT / GARAGE (NON RESIDENTIAL)
JG150498,800 N LONG AVE,AUSTIN,SIDEWALK
JG180050,200 E HURON ST,NEAR NORTH SIDE,HOSPITAL BUILDING / GROUNDS
JG179033,8300 S PHILLIPS AVE,SOUTH CHICAGO,SIDEWALK
JF279958,1900 N KILBOURN AVE,HERMOSA,STREET
JG227737,0 S LEAVITT ST,NEAR WEST SIDE,STREET
JG237996,4700 N KILPATRICK AVE,IRVING PARK,APARTMENT
JG237364,5500 S PRINCETON AVE,ENGLEWOOD,STREET
JG236864,7000 S INDIANA AVE,GREATER GRAND CROSSING,APARTMENT
JG180913,11100 S MICHIGAN AVE,ROSELAND,SIDEWALK
JF436125,8700 S BURLEY AVE,SOUTH CHICAGO,CHA APARTMENT
JG238253,5100 W AUGUSTA BLVD,AUSTIN,APARTMENT
JG181322,900 N CENTRAL PARK AVE,HUMBOLDT PARK,ALLEY
JG225310,800 W 54TH PL,NEW CITY,STREET
JG238310,1400 W 114TH PL,MORGAN PARK,STREET
JG181584,100 N DEARBORN ST,LOOP,STREET
JE386588,500 S PULASKI RD,WEST GARFIELD PARK,AUTO
JF380306,5000 W GLADYS AVE,AUSTIN,STREET
JF149035,8400 S INGLESIDE AVE,CHATHAM,STREET
JG228503,8600 S MORGAN ST,AUBURN GRESHAM,GAS STATION
JG227937,8400 S MUSKEGON AVE,SOUTH CHICAGO,STREET
JG228311,4300 W AUGUSTA BLVD,HUMBOLDT PARK,APARTMENT
HM590365,13300 S LANGLEY AVE,RIVERDALE,STREET
JG238540,4900 W RACE AVE,AUSTIN,STREET
HZ502115,300 S MAPLEWOOD AVE,NEAR WEST SIDE,STREET
A000157,4300 S STATE ST,GRAND BOULEVARD,AUTO
A003639,700 N DRAKE AVE,HUMBOLDT PARK,ALLEY
A004358,9500 S PERRY AVE,ROSELAND,HOUSE
A005475,3600 W FIFTH AVE,EAST GARFIELD PARK,STREET
A006735,3900 W ROOSEVELT RD,NORTH LAWNDALE,AUTO
A011391,11300 S WENTWORTH AVE,ROSELAND,ALLEY
A020584,100 S KILBOURN AVE,WEST GARFIELD PARK,TAXI CAB
A025603,4000 W 31 ST,SOUTH LAWNDALE,CTA PROPERTY
A026109,4400 S WELLS ST,FULLER PARK,STREET
A027853,5700 S ABERDEEN ST,ENGLEWOOD,APARTMENT
A033734,400 W 57TH ST,ENGLEWOOD,APARTMENT
A041973,3900 W LAKE ST,WEST GARFIELD PARK,STREET
JF325512,0 W ILLINOIS ST,NEAR NORTH SIDE,STREET
JF382314,1900 S STATE ST,NEAR SOUTH SIDE,SIDEWALK
A058781,4400 W HARRISON ST,WEST GARFIELD PARK,TAVERN
